Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Chris Moore (25323580),Chris Moore,25323580,WR/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,HOU,6.66
QB,Ian Book (25323189),Ian Book,25323189,QB,4000,PHI@IND 11/20/2022 01:00PM ET,PHI,0
RB,Trey Sermon (25323336),Trey Sermon,25323336,RB/FLEX,4000,PHI@IND 11/20/2022 01:00PM ET,PHI,0.95
RB,Kennedy Brooks (25323338),Kennedy Brooks,25323338,RB/FLEX,4000,PHI@IND 11/20/2022 01:00PM ET,PHI,0
RB,Jordan Wilkins (25323466),Jordan Wilkins,25323466,RB/FLEX,4000,PHI@IND 11/20/2022 01:00PM ET,IND,4.3
RB,Jake Funk (25323468),Jake Funk,25323468,RB/FLEX,4000,PHI@IND 11/20/2022 01:00PM ET,IND,0
QB,Brian Hoyer (25323193),Brian Hoyer,25323193,QB,4000,NYJ@NE 11/20/2022 01:00PM ET,NE,1.48
QB,Garrett Gilbert (25323194),Garrett Gilbert,25323194,QB,4000,NYJ@NE 11/20/2022 01:00PM ET,NE,0
QB,Chris Streveler (25323205),Chris Streveler,25323205,QB,4000,NYJ@NE 11/20/2022 01:00PM ET,NYJ,0
RB,J.J. Taylor (25323358),J.J. Taylor,25323358,RB/FLEX,4000,NYJ@NE 11/20/2022 01:00PM ET,NE,2.7
RB,Pierre Strong Jr. (25323360),Pierre Strong Jr.,25323360,RB/FLEX,4000,NYJ@NE 11/20/2022 01:00PM ET,NE,0.07
RB,Kevin Harris (25323362),Kevin Harris,25323362,RB/FLEX,4000,NYJ@NE 11/20/2022 01:00PM ET,NE,0.5
RB,Zonovan Knight (25323442),Zonovan Knight,25323442,RB/FLEX,4000,NYJ@NE 11/20/2022 01:00PM ET,NYJ,0
RB,Breece Hall (25323444),Breece Hall,25323444,RB/FLEX,4000,NYJ@NE 11/20/2022 01:00PM ET,NYJ,17.44
