Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Roster Position
63499-45964,WR,Marcus,Marcus Kemp,Kemp,0.800000012,2,4500,CLE@KC,KC,CLE,,,,WR/FLEX
63499-64405,WR,Dan,Dan Chisena,Chisena,,,4500,MIN@CIN,MIN,CIN,IR,Undisclosed,,WR/FLEX
63499-25513,WR,Darius,Darius Jennings,Jennings,0,1,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-54186,WR,A.J.,A.J. Richardson,Richardson,0,2,4500,ARI@TEN,ARI,TEN,,,,WR/FLEX
63499-45997,WR,Keith,Keith Kirkwood,Kirkwood,0.899999976,2,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
63499-72627,RB,Patrick,Patrick Taylor,Taylor,,,4500,GB@NO,GB,NO,,,,RB/FLEX
63499-103352,RB,Christian,Christian Wade,Wade,,,4500,PIT@BUF,BUF,PIT,O,Shoulder,,RB/FLEX
63499-43973,RB,Keith,Keith Smith,Smith,1.008333365,12,4500,PHI@ATL,ATL,PHI,,,,RB/FLEX
63499-93134,RB,Deon,Deon Jackson,Jackson,,,4500,SEA@IND,IND,SEA,,,,RB/FLEX
63499-72669,WR,Isaiah,Isaiah Wright,Wright,2.73333327,12,4500,LAC@WAS,WAS,LAC,,,,WR/FLEX
63499-41954,WR,Victor,Victor Bolden,Bolden,0,1,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-72676,RB,Troymaine,Troymaine Pope,Pope,3.950000048,4,4500,DAL@TB,TB,DAL,Q,Undisclosed,,RB/FLEX
63499-70645,WR,Eli,Eli Stove,Stove,,,4500,LAC@WAS,LAC,WAS,Q,Knee - acl,,WR/FLEX
63499-72693,RB,Adrian,Adrian Killins,Killins,-0.25,2,4500,DEN@NYG,DEN,NYG,IR,Ankle,,RB/FLEX
63499-39930,WR,Reggie,Reggie Davis,Davis,0,2,4500,DAL@TB,DAL,TB,,,,WR/FLEX
63499-70662,WR,Tyler,Tyler Vaughns,Vaughns,,,4500,PIT@BUF,PIT,BUF,,,,WR/FLEX
63499-54280,WR,Duke,Duke Williams,Williams,7.150000095,4,4500,PIT@BUF,BUF,PIT,Q,Hamstring,,WR/FLEX
63499-41997,WR,River,River Cracraft,Cracraft,1.419999981,5,4500,SF@DET,SF,DET,,,,WR/FLEX
63499-72718,RB,Benny,Benny LeMay,LeMay,0,1,4500,SEA@IND,IND,SEA,,,,RB/FLEX
63499-27671,WR,Jake,Jake Kumerow,Kumerow,8.699999809,1,4500,PIT@BUF,BUF,PIT,,,,WR/FLEX
63499-70680,WR,Jalen,Jalen Camp,Camp,,,4500,JAC@HOU,HOU,JAC,,,,WR/FLEX
63499-56356,WR,Isaiah,Isaiah Ford,Ford,4.159999847,10,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-154661,WR,Michael,Michael Bandy,Bandy,,,4500,LAC@WAS,LAC,WAS,,,,WR/FLEX
63499-148546,WR,Darece,Darece Roberson Jr.,Roberson Jr.,,,4500,SEA@IND,SEA,IND,,,,WR/FLEX
63499-89157,RB,Caleb,Caleb Huntley,Huntley,,,4500,PHI@ATL,ATL,PHI,,,,RB/FLEX
